County,Region,State,sf_count,GEOID,GEOIDFQ,STATE_NAME,STATEFP,COUNTYFP,COUNTYNS,TOTAL_BUILDINGS,BUILDINGS_FRACTION_ME,BUILDINGS_FRACTION_IE,BUILDINGS_FRACTION_DE,BP_STATE_RANK,BP_NATIONAL_RANK,RISK_STATE_RANK,RISK_NATIONAL_RANK
ACADIA,06,LA,1,22001,0500000US22001,Louisiana,22,1,558389,41126,0.244516851,0.259252055,0.496231095,0.429,0.338,0.349,0.316
ADAMS,03,PA,4,42001,0500000US42001,Pennsylvania,42,1,1213656,59227,0.176574873,0.170057575,0.653367552,0.621,0.33,0.636,0.344
ADAMS,05,IL,1,17001,0500000US17001,Illinois,17,1,424202,47004,0.668751596,0.087822313,0.243426091,0.792,0.174,0.792,0.17
ADAMS,07,NE,3,31001,0500000US31001,Nebraska,31,1,835823,20246,0.825348217,0.016398301,0.158253482,0.033,0.19,0.033,0.224
ADAMS,08,CO,2,8001,0500000US08001,Colorado,8,1,198116,172122,0.858664203,0.029403563,0.111932234,0.27,0.581,0.254,0.597
ALACHUA,04,FL,1,12001,0500000US12001,Florida,12,1,308548,95366,0.08252417,0.218704779,0.69877105,0.318,0.797,0.394,0.812
ALAMEDA,09,CA,2,6001,0500000US06001,California,6,1,1675839,459757,0.628930065,0.316782561,0.054287374,0.649,0.969,0.561,0.966
ALBEMARLE,03,VA,1,51003,0500000US51003,Virginia,51,3,1675170,45447,0.005742953,0.206306247,0.7879508,0.614,0.421,0.621,0.426
ALLEGAN,05,MI,1,26005,0500000US26005,Michigan,26,5,1622945,75432,0.164598579,0.219243822,0.616157599,0.28,0.078,0.28,0.074
ALLEGANY,02,NY,1,36003,0500000US36003,New York,36,3,974100,38942,0.004673617,0.151019465,0.844306918,0.492,0.107,0.475,0.105
ALLEGANY,03,MD,1,24001,0500000US24001,Maryland,24,1,1713506,36513,1.0955e-4,0.477911977,0.521978473,0.696,0.407,0.696,0.418
ALLEGHANY,03,VA,1,51005,0500000US51005,Virginia,51,5,1673675,11640,0,0.309965636,0.690034364,0.902,0.65,0.917,0.672
ALLEGHENY,03,PA,3,42003,0500000US42003,Pennsylvania,42,3,1213657,512654,0.537114701,0.247215471,0.215669828,0.167,0.201,0.152,0.195
ALLEN,05,IN,1,18003,0500000US18003,Indiana,18,3,450402,179264,0.78657176,0.01995939,0.19346885,0.297,0.022,0.297,0.021
ALLEN,07,KS,1,20001,0500000US20001,Kansas,20,1,484970,11682,0.487758945,0.008217771,0.504023284,0.423,0.483,0.375,0.487
ALLENDALE,04,SC,1,45005,0500000US45005,South Carolina,45,5,1247980,6300,0,0.355873016,0.644126984,0.4,0.601,0.489,0.602
ANNE ARUNDEL,03,MD,2,24003,0500000US24003,Maryland,24,3,1710958,186998,0.362420988,0.213392657,0.424186355,0.391,0.243,0.391,0.241
ANOKA,05,MN,4,27003,0500000US27003,Minnesota,27,3,659447,142862,0.538260699,0.069577634,0.392161667,0.779,0.444,0.802,0.514
ANTRIM,05,MI,1,26009,0500000US26009,Michigan,26,9,1622947,25997,0.054121629,0.158018233,0.787860138,0.622,0.204,0.61,0.206
ARAPAHOE,08,CO,1,8005,0500000US08005,Colorado,8,5,198118,192251,0.730539763,0.136555857,0.13290438,0.556,0.726,0.429,0.729
ARECIBO,02,PR,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AROOSTOOK,01,ME,1,23003,0500000US23003,Maine,23,3,581287,56852,0.030605783,0.296154929,0.673239288,0.733,0.076,0.733,0.075
ASHE,04,NC,1,37009,0500000US37009,North Carolina,37,9,1008535,27935,0,0.027420798,0.972579202,0.586,0.537,0.545,0.499
ASHLAND,05,WI,1,55003,0500000US55003,Wisconsin,55,3,1581061,15293,0.009023736,0.357614595,0.633361669,0.141,0.104,0.113,0.099
ASHTABULA,05,OH,4,39007,0500000US39007,Ohio,39,7,1074017,69783,0.163807804,0.242164997,0.594027199,0.678,0.23,0.69,0.223
ATLANTIC,02,NJ,6,34001,0500000US34001,New Jersey,34,1,882270,106293,0.354830516,0.29015081,0.355018675,0.9,0.806,0.9,0.831
BALTIMORE,03,MD,1,24005,0500000US24005,Maryland,24,5,1695314,238714,0.449713884,0.146342485,0.403943631,0.087,0.094,0.087,0.102
BALTIMORE CITY,03,MD,1,24510,0500000US24510,Maryland,24,510,1702381,226220,0.949319247,0,0.050680753,0.043,0.089,0.043,0.084
BARCELONETA,02,PR,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BARNSTABLE,01,MA,1,25001,0500000US25001,Massachusetts,25,1,606927,172875,0.51676645,0.189321764,0.293911786,0.077,0.115,0.538,0.168
BARNWELL,04,SC,1,45011,0500000US45011,South Carolina,45,11,1247983,15459,0,0.245746814,0.754253186,0.444,0.607,0.556,0.611
BARTHOLOMEW,05,IN,1,18005,0500000US18005,Indiana,18,5,451683,44305,0.5463266,0.053402551,0.40027085,0.681,0.109,0.67,0.099
BARTON,07,KS,1,20009,0500000US20009,Kansas,20,9,484974,21729,0.508583,0.215380367,0.276036633,0.413,0.476,0.5,0.572
